sl.no,word,mood,score
761,cancerous,negative,-1
762,cannibal,negative,-1
763,cannibalize,negative,-1
764,capability,positive,1
765,capable,positive,1
766,capably,positive,1
767,capitulate,negative,-1
768,capricious,negative,-1
769,capriciously,negative,-1
770,capriciousness,negative,-1
771,capsize,negative,-1
772,captivate,positive,1
773,captivating,positive,1
774,carefree,positive,1
775,careless,negative,-1
776,carelessness,negative,-1
777,caricature,negative,-1
778,carnage,negative,-1
779,carp,negative,-1
780,cartoonish,negative,-1
781,cashback,positive,1
782,cashbacks,positive,1
783,cash-strapped,negative,-1
784,castigate,negative,-1
785,castrated,negative,-1
786,casualty,negative,-1
787,cataclysm,negative,-1
788,cataclysmal,negative,-1
789,cataclysmic,negative,-1
790,cataclysmically,negative,-1
791,catastrophe,negative,-1
792,catastrophes,negative,-1
793,catastrophic,negative,-1
794,catastrophically,negative,-1
795,catastrophies,negative,-1
796,catchy,positive,1
797,caustic,negative,-1
798,caustically,negative,-1
799,cautionary,negative,-1
800,cave,negative,-1
801,celebrate,positive,1
802,celebrated,positive,1
803,celebration,positive,1
804,celebratory,positive,1
805,censure,negative,-1
806,chafe,negative,-1
807,chaff,negative,-1
808,chagrin,negative,-1
809,challenging,negative,-1
810,champ,positive,1
811,champion,positive,1
812,chaos,negative,-1
813,chaotic,negative,-1
814,charisma,positive,1
815,charismatic,positive,1
816,charitable,positive,1
817,charm,positive,1
818,charming,positive,1
819,charmingly,positive,1
820,chaste,positive,1
821,chasten,negative,-1
822,chastise,negative,-1
823,chastisement,negative,-1
824,chatter,negative,-1
825,chatterbox,negative,-1
826,cheap,negative,-1
827,cheapen,negative,-1
828,cheaper,positive,1
829,cheapest,positive,1
830,cheaply,negative,-1
831,cheat,negative,-1
832,cheated,negative,-1
833,cheater,negative,-1
834,cheating,negative,-1
835,cheats,negative,-1
836,checkered,negative,-1
837,cheer,positive,1
838,cheerful,positive,1
839,cheerless,negative,-1
840,cheery,positive,1
841,cheesy,negative,-1
842,cherish,positive,1
843,cherished,positive,1
844,cherub,positive,1
845,chic,positive,1
846,chide,negative,-1
847,childish,negative,-1
848,chill,negative,-1
849,chilly,negative,-1
850,chintzy,negative,-1
851,chivalrous,positive,1
852,chivalry,positive,1
853,choke,negative,-1
854,choleric,negative,-1
855,choppy,negative,-1
856,chore,negative,-1
857,chronic,negative,-1
858,chunky,negative,-1
859,civility,positive,1
860,civilize,positive,1
861,clamor,negative,-1
862,clamorous,negative,-1
863,clarity,positive,1
864,clash,negative,-1
865,classic,positive,1
866,classy,positive,1
867,clean,positive,1
868,cleaner,positive,1
869,cleanest,positive,1
870,cleanliness,positive,1
871,cleanly,positive,1
872,clear,positive,1
873,clear-cut,positive,1
874,cleared,positive,1
875,clearer,positive,1
876,clearly,positive,1
877,clears,positive,1
878,clever,positive,1
879,cleverly,positive,1
880,cliche,negative,-1
881,cliched,negative,-1
882,clique,negative,-1
